chapter,preferred_name,canonical_smiles,chemillusion_source_names,aliases_checked,matched_aliases_in_openstax,identical_molecule_named_in_openstax
5,"3-Bromobutan-2-ol, a molecule with two different stereocenters",C[C@H](O)[C@H](C)Br,"3-Bromobutan-2-ol, a molecule with two different stereocenters","3-Bromobutan-2-ol, a molecule with two different stereocenters",,False
5,D-(R)-Glyceraldehyde,O=C[C@H](O)CO,D-(R)-Glyceraldehyde,D- -Glyceraldehyde | D-(R)-Glyceraldehyde,,False
5,"L-Alanine, a chiral building block of proteins",C[C@H](N)C(=O)O,"L-Alanine, a chiral building block of proteins","L-Alanine, a chiral building block of proteins",,False
5,meso-Tartaric acid,O=C(O)[C@@H](O)[C@@H](O)C(=O)O,meso-Tartaric acid,meso-Tartaric acid,meso-Tartaric acid,True
5,"Propan-2-ol, an achiral molecule for contrast",CC(C)O,"Propan-2-ol, an achiral molecule for contrast","Propan-2-ol, an achiral molecule for contrast",,False
5,Tracing CIP priorities on (S)-2-bromobutane,CC[C@H](C)Br,Tracing CIP priorities on (S)-2-bromobutane,Tracing CIP priorities on (S)-2-bromobutane | Tracing CIP priorities on -2-bromobutane,,False
6,"2-Bromo-2-methylpropane, a substitution and elimination substrate",CC(C)(C)Br,"2-Bromo-2-methylpropane, a substitution and elimination substrate","2-Bromo-2-methylpropane, a substitution and elimination substrate",,False
6,"2-Bromobutane, an addition product",CC[C@@H](C)Br,"2-Bromobutane, an addition product","2-Bromobutane, an addition product",,False
6,"Bromomethane, an electrophilic carbon",CBr,"Bromomethane, an electrophilic carbon","Bromomethane, an electrophilic carbon",,False
6,"But-2-ene, an addition substrate",C/C=C\C,"But-2-ene, an addition substrate","But-2-ene, an addition substrate",,False
6,"Hydroxide ion, a nucleophile",[OH-],"Hydroxide ion, a nucleophile","Hydroxide ion, a nucleophile",,False
6,"Methanol, a substitution product",CO,"Methanol, a substitution product","Methanol, a substitution product",,False
6,"Molecular chlorine, a bond that cleaves homolytically",ClCl,"Molecular chlorine, a bond that cleaves homolytically","Molecular chlorine, a bond that cleaves homolytically",,False
6,"The tert-butyl cation, an electrophilic intermediate",C[C+](C)C,"The tert-butyl cation, an electrophilic intermediate","The tert-butyl cation, an electrophilic intermediate",,False
7,But-2-ene,C/C=C\C,But-2-ene,But-2-ene,But-2-ene,True
7,Ethene (ethylene),C=C,Ethene (ethylene),Ethene | Ethene (ethylene) | ethylene,Ethene | ethylene,True
7,"Halogenation product: 2,3-dibromobutane",CC(Br)C(C)Br,"Halogenation product: 2,3-dibromobutane","Halogenation product: 2,3-dibromobutane",,False
7,Hydration product: propan-2-ol (isopropyl alcohol),CC(C)O,Hydration product: propan-2-ol (isopropyl alcohol),Hydration product: propan-2-ol | Hydration product: propan-2-ol (isopropyl alcohol) | isopropyl alcohol,,False
7,Markovnikov product: 2-bromopropane (isopropyl bromide),CC(C)Br,Markovnikov product: 2-bromopropane (isopropyl bromide),Markovnikov product: 2-bromopropane | Markovnikov product: 2-bromopropane (isopropyl bromide) | isopropyl bromide,,False
7,Prop-1-ene (propene),C=CC,Prop-1-ene (propene),Prop-1-ene | Prop-1-ene (propene) | propene,propene,True
8,Anti-Markovnikov product: butan-1-ol,CCCCO,Anti-Markovnikov product: butan-1-ol,Anti-Markovnikov product: butan-1-ol,,False
8,"Dihydroxylation product: propane-1,2-diol",CC(O)CO,"Dihydroxylation product: propane-1,2-diol","Dihydroxylation product: propane-1,2-diol",,False
8,Epoxidation product: 2-methyloxirane,CC1CO1,Epoxidation product: 2-methyloxirane,Epoxidation product: 2-methyloxirane,,False
8,Epoxidation substrate: propene,C=CC,Dihydroxylation substrate: propene | Epoxidation substrate: propene,Dihydroxylation substrate: propene | Epoxidation substrate: propene,,False
8,Hydroboration substrate: but-1-ene,C=CCC,Hydroboration substrate: but-1-ene,Hydroboration substrate: but-1-ene,,False
8,Hydrogenation product: butane,CCCC,Hydrogenation product: butane,Hydrogenation product: butane,,False
8,Hydrogenation substrate: but-2-ene,CC=CC,Hydrogenation substrate: but-2-ene,Hydrogenation substrate: but-2-ene,,False
8,Markovnikov product: butan-2-ol,CCC(C)O,Markovnikov product: butan-2-ol,Markovnikov product: butan-2-ol,,False
8,Ozonolysis product: acetaldehyde,CC=O,Ozonolysis product: acetaldehyde,Ozonolysis product: acetaldehyde,,False
8,Ozonolysis product: acetone,CC(C)=O,Ozonolysis product: acetone,Ozonolysis product: acetone,,False
8,Ozonolysis substrate: 2-methylbut-2-ene,CC=C(C)C,Ozonolysis substrate: 2-methylbut-2-ene,Ozonolysis substrate: 2-methylbut-2-ene,,False
9,"2,2-Dibromopropane, the geminal dihalide",CC(C)(Br)Br,"2,2-Dibromopropane, the geminal dihalide","2,2-Dibromopropane, the geminal dihalide",,False
9,"2-Bromopropene, the Markovnikov addition product",C=C(C)Br,"2-Bromopropene, the Markovnikov addition product","2-Bromopropene, the Markovnikov addition product",,False
9,"Acetone, the ketone from Markovnikov hydration",CC(C)=O,"Acetone, the ketone from Markovnikov hydration","Acetone, the ketone from Markovnikov hydration",,False
9,"Bromoethane, a primary alkyl halide",CCBr,"Bromoethane, a primary alkyl halide","Bromoethane, a primary alkyl halide",,False
9,"But-1-yne, numbered from the triple bond",C#CCC,"But-1-yne, numbered from the triple bond","But-1-yne, numbered from the triple bond",,False
9,"But-2-yne, an internal alkyne",CC#CC,"But-2-yne, an internal alkyne","But-2-yne, an internal alkyne",,False
9,Butane from complete hydrogenation,CCCC,Butane from complete hydrogenation,Butane from complete hydrogenation,,False
9,cis-2-Butene from partial hydrogenation,C/C=C\C,cis-2-Butene from partial hydrogenation,cis-2-Butene from partial hydrogenation,,False
9,"Pent-2-yne, the acetylide alkylation product",CC#CCC,"Pent-2-yne, the acetylide alkylation product","Pent-2-yne, the acetylide alkylation product",,False
9,"Propanal, the aldehyde from hydroboration-oxidation",CCC=O,"Propanal, the aldehyde from hydroboration-oxidation","Propanal, the aldehyde from hydroboration-oxidation",,False
9,"Propyne, a terminal alkyne",C#CC,"Propyne, a terminal alkyne","Propyne, a terminal alkyne",,False
9,"Propynide, the acetylide anion",[C-]#CC,"Propynide, the acetylide anion","Propynide, the acetylide anion",,False
9,The enol intermediate from Markovnikov hydration,C=C(C)O,The enol intermediate from Markovnikov hydration,The enol intermediate from Markovnikov hydration,,False
9,trans-2-Butene from dissolving-metal reduction,C/C=C/C,trans-2-Butene from dissolving-metal reduction,trans-2-Butene from dissolving-metal reduction,,False
10,"1-Bromo-2-butene, the resonance-shifted product",CC=CCBr,"1-Bromo-2-butene, the resonance-shifted product","1-Bromo-2-butene, the resonance-shifted product",,False
10,"1-Chlorobutane, a primary alkyl halide",CCCCCl,"1-Chlorobutane, a primary alkyl halide","1-Chlorobutane, a primary alkyl halide",,False
10,"2-Bromo-2-methylbutane, the selective bromination product",CCC(C)(C)Br,"2-Bromo-2-methylbutane, the selective bromination product","2-Bromo-2-methylbutane, the selective bromination product",,False
10,"2-Bromobutane, a secondary alkyl halide",CC[C@@H](C)Br,"2-Bromobutane, a secondary alkyl halide","2-Bromobutane, a secondary alkyl halide",,False
10,"2-Chloro-2-methylpropane, a tertiary alkyl halide",CC(C)(C)Cl,"2-Chloro-2-methylpropane, a tertiary alkyl halide","2-Chloro-2-methylpropane, a tertiary alkyl halide",,False
10,"3-Bromo-1-butene, one allylic-bromination product",C=CC(C)Br,"3-Bromo-1-butene, one allylic-bromination product","3-Bromo-1-butene, one allylic-bromination product",,False
10,"3-Bromoprop-1-ene (allyl bromide), an allylic halide",C=CCBr,"3-Bromoprop-1-ene (allyl bromide), an allylic halide","3-Bromoprop-1-ene (allyl bromide), an allylic halide | 3-Bromoprop-1-ene , an allylic halide | allyl bromide",,False
10,"But-1-ene, an unsymmetrical allylic substrate",C=CCC,"But-1-ene, an unsymmetrical allylic substrate","But-1-ene, an unsymmetrical allylic substrate",,False
10,"Chloroethene, a vinylic halide",C=CCl,"Chloroethene, a vinylic halide","Chloroethene, a vinylic halide",,False
10,"Cyclohexene, an allylic-bromination substrate",C1=CCCCC1,"Cyclohexene, an allylic-bromination substrate","Cyclohexene, an allylic-bromination substrate",,False
10,"Propene, showing the allylic position",C=CC,"Propene, showing the allylic position","Propene, showing the allylic position",,False
11,"(E)-2-Butene, the Zaitsev elimination product",C/C=C/C,"(E)-2-Butene, the Zaitsev elimination product","(E)-2-Butene, the Zaitsev elimination product",,False
11,"(R)-2-Butanol, the inverted SN2 product",CC[C@@H](C)O,"(R)-2-Butanol, the inverted SN2 product","(R)-2-Butanol, the inverted SN2 product",,False
11,"(S)-2-Bromobutane, a single enantiomer of substrate",CC[C@H](C)Br,"(S)-2-Bromobutane, a single enantiomer of substrate","(S)-2-Bromobutane, a single enantiomer of substrate",,False
11,"1-Butene, the Hofmann elimination product",C=CCC,"1-Butene, the Hofmann elimination product","1-Butene, the Hofmann elimination product",,False
11,"2-Bromo-2-methylpropane (tert-butyl bromide), a tertiary halide",CC(C)(C)Br,"2-Bromo-2-methylpropane (tert-butyl bromide), a tertiary halide","2-Bromo-2-methylpropane (tert-butyl bromide), a tertiary halide | 2-Bromo-2-methylpropane , a tertiary halide | tert-butyl bromide",,False
11,"2-Bromobutane, the substrate for the elimination examples",CCC(C)Br,"2-Bromobutane, the substrate for the elimination examples","2-Bromobutane, the substrate for the elimination examples",,False
11,"2-Bromopropane, a secondary alkyl halide",CC(C)Br,"2-Bromopropane, a secondary alkyl halide","2-Bromopropane, a secondary alkyl halide",,False
11,"2-Methyl-2-propanol (tert-butyl alcohol), the SN1 product",CC(C)(C)O,"2-Methyl-2-propanol (tert-butyl alcohol), the SN1 product","2-Methyl-2-propanol (tert-butyl alcohol), the SN1 product | 2-Methyl-2-propanol , the SN1 product | tert-butyl alcohol",,False
11,"Bromoethane, a primary alkyl halide",CCBr,"Bromoethane, a primary alkyl halide","Bromoethane, a primary alkyl halide",,False
11,"Bromomethane, the ideal SN2 substrate",CBr,"Bromomethane, the ideal SN2 substrate","Bromomethane, the ideal SN2 substrate",,False
11,"Butyl tosylate, a sulfonate leaving group",CCCCOS(=O)(=O)c1ccc(C)cc1,"Butyl tosylate, a sulfonate leaving group","Butyl tosylate, a sulfonate leaving group",,False
11,"Iodoethane, illustrating iodide as an excellent leaving group",CCI,"Iodoethane, illustrating iodide as an excellent leaving group","Iodoethane, illustrating iodide as an excellent leaving group",,False
11,"Methyl propyl ether, a Williamson ether product",CCCOC,"Methyl propyl ether, a Williamson ether product","Methyl propyl ether, a Williamson ether product",,False
12,"1-Bromopropane, showing the bromine 1:1 isotope doublet",CCCBr,"1-Bromopropane, showing the bromine 1:1 isotope doublet","1-Bromopropane, showing the bromine 1:1 isotope doublet",,False
12,"2-Chloropropane, showing the chlorine 3:1 isotope pattern",CC(C)Cl,"2-Chloropropane, showing the chlorine 3:1 isotope pattern","2-Chloropropane, showing the chlorine 3:1 isotope pattern",,False
12,"Benzaldehyde, combining aromatic, aldehyde, and conjugated carbonyl bands",O=Cc1ccccc1,"Benzaldehyde, combining aromatic, aldehyde, and conjugated carbonyl bands","Benzaldehyde, combining aromatic, aldehyde, and conjugated carbonyl bands",,False
12,"Cyclohexanone, showing the intense ketone C=O stretch",O=C1CCCCC1,"Cyclohexanone, showing the intense ketone C=O stretch","Cyclohexanone, showing the intense ketone C=O stretch",,False
12,"Hex-1-yne, a terminal alkyne with two diagnostic stretches",C#CCCCC,"Hex-1-yne, a terminal alkyne with two diagnostic stretches","Hex-1-yne, a terminal alkyne with two diagnostic stretches",,False
12,"Hexan-1-ol, showing the broad hydrogen-bonded O–H stretch",CCCCCCO,"Hexan-1-ol, showing the broad hydrogen-bonded O–H stretch","Hexan-1-ol, showing the broad hydrogen-bonded O-H stretch",,False
12,"Hexan-2-one, an alpha-cleavage and McLafferty substrate",CCCCC(C)=O,"Hexan-2-one, an alpha-cleavage and McLafferty substrate","Hexan-2-one, an alpha-cleavage and McLafferty substrate",,False
12,"Pent-1-ene, an alkene reference for the double-bond region",C=CCCC,"Pent-1-ene, an alkene reference for the double-bond region","Pent-1-ene, an alkene reference for the double-bond region",,False
12,"Triethylamine, an odd-mass molecular ion",CCN(CC)CC,"Triethylamine, an odd-mass molecular ion","Triethylamine, an odd-mass molecular ion",,False
13,"1,1-Dichloroethane, a doublet-plus-quartet pair",CC(Cl)Cl,"1,1-Dichloroethane, a doublet-plus-quartet pair","1,1-Dichloroethane, a doublet-plus-quartet pair",,False
13,"2-Bromopropane, whose symmetry gives two signals",CC(C)Br,"2-Bromopropane, whose symmetry gives two signals","2-Bromopropane, whose symmetry gives two signals",,False
13,"Bromoethane, the classic quartet-plus-triplet ethyl pattern",CCBr,"Bromoethane, the classic quartet-plus-triplet ethyl pattern","Bromoethane, the classic quartet-plus-triplet ethyl pattern",,False
13,"Butan-2-one, four carbons in four ¹³C regions",CCC(C)=O,"Butan-2-one, four carbons in four ¹³C regions","Butan-2-one, four carbons in four 13C regions",,False
13,"Cyclohexane, twelve equivalent hydrogens in one line",C1CCCCC1,"Cyclohexane, twelve equivalent hydrogens in one line","Cyclohexane, twelve equivalent hydrogens in one line",,False
13,"Ethyl acetate, whose δ 4.1 quartet locates the CH₂ on oxygen",CCOC(C)=O,"Ethyl acetate, whose δ 4.1 quartet locates the CH₂ on oxygen","Ethyl acetate, whose δ 4.1 quartet locates the CH2 on oxygen",,False
13,"Methyl 2,2-dimethylpropanoate, a 3:1 integration example",COC(=O)C(C)(C)C,"Methyl 2,2-dimethylpropanoate, a 3:1 integration example","Methyl 2,2-dimethylpropanoate, a 3:1 integration example",,False
13,"Methyl acetate, whose two proton environments give two signals",COC(C)=O,"Methyl acetate, whose two proton environments give two signals","Methyl acetate, whose two proton environments give two signals",,False
13,"Methyl propanoate, the isomer whose quartet sits at δ 2.3",CCC(=O)OC,"Methyl propanoate, the isomer whose quartet sits at δ 2.3","Methyl propanoate, the isomer whose quartet sits at δ 2.3",,False
13,"p-Xylene, ten hydrogens condensed into two signals",Cc1ccc(C)cc1,"p-Xylene, ten hydrogens condensed into two signals","p-Xylene, ten hydrogens condensed into two signals",,False
13,"Propanal, whose aldehyde proton absorbs near δ 9.8",CCC=O,"Propanal, whose aldehyde proton absorbs near δ 9.8","Propanal, whose aldehyde proton absorbs near δ 9.8",,False
13,"Tetramethylsilane (TMS), the 0 ppm reference",C[Si](C)(C)C,"Tetramethylsilane (TMS), the 0 ppm reference","TMS | Tetramethylsilane (TMS), the 0 ppm reference | Tetramethylsilane , the 0 ppm reference",TMS,True
14,"(3E)-Hexa-1,3,5-triene, an extended conjugated system",C=C/C=C/C=C,"(3E)-Hexa-1,3,5-triene, an extended conjugated system","(3E)-Hexa-1,3,5-triene, an extended conjugated system",,False
14,"(E)-1-Bromobut-2-ene, the 1,4-addition product",C/C=C/CBr,"(E)-1-Bromobut-2-ene, the 1,4-addition product","(E)-1-Bromobut-2-ene, the 1,4-addition product",,False
14,"3-Bromobut-1-ene, the 1,2-addition product",C=CC(C)Br,"3-Bromobut-1-ene, the 1,2-addition product","3-Bromobut-1-ene, the 1,2-addition product",,False
14,"Buta-1,3-diene, the parent conjugated diene",C=CC=C,"Buta-1,3-diene, the parent conjugated diene","Buta-1,3-diene, the parent conjugated diene",,False
14,"Cyclohexene, the parent Diels–Alder adduct",C1=CCCCC1,"Cyclohexene, the parent Diels–Alder adduct","Cyclohexene, the parent Diels-Alder adduct",,False
14,"Cyclopenta-1,3-diene, a diene locked s-cis",C1=CCC=C1,"Cyclopenta-1,3-diene, a diene locked s-cis","Cyclopenta-1,3-diene, a diene locked s-cis",,False
14,"Isoprene (2-methylbuta-1,3-diene)",C=CC(=C)C,"Isoprene (2-methylbuta-1,3-diene)","2-methylbuta-1,3-diene | Isoprene | Isoprene (2-methylbuta-1,3-diene)",Isoprene,True
14,"Maleic anhydride, a highly reactive dienophile",O=C1C=CC(=O)O1,"Maleic anhydride, a highly reactive dienophile","Maleic anhydride, a highly reactive dienophile",,False
14,"Penta-1,4-diene, an isolated diene",C=CCC=C,"Penta-1,4-diene, an isolated diene","Penta-1,4-diene, an isolated diene",,False
14,"Propa-1,2-diene (allene), a cumulated diene",C=C=C,"Propa-1,2-diene (allene), a cumulated diene","Propa-1,2-diene (allene), a cumulated diene | Propa-1,2-diene , a cumulated diene | allene",allene,True
14,"Propenal (acrolein), an activated dienophile",C=CC=O,"Propenal (acrolein), an activated dienophile","Propenal (acrolein), an activated dienophile | Propenal , an activated dienophile | acrolein",,False
14,"β-Carotene, an eleven-fold conjugated polyene",CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(C)(C)CCC2)C(C)(C)CCC1,"β-Carotene, an eleven-fold conjugated polyene","β-Carotene, an eleven-fold conjugated polyene",,False
15,"Adenine, a fused aromatic heterocycle",Nc1ncnc2[nH]cnc12,"Adenine, a fused aromatic heterocycle","Adenine, a fused aromatic heterocycle",,False
15,"Aniline, a retained parent name",Nc1ccccc1,"Aniline, a retained parent name","Aniline, a retained parent name",,False
15,"Anthracene, three linearly fused rings",c1ccc2cc3ccccc3cc2c1,"Anthracene, three linearly fused rings","Anthracene, three linearly fused rings",,False
15,"Benzene, the parent aromatic ring",c1ccccc1,"Benzene, the parent aromatic ring","Benzene, the parent aromatic ring",,False
15,"Cyclobutadiene, an antiaromatic ring",C1=CC=C1,"Cyclobutadiene, an antiaromatic ring","Cyclobutadiene, an antiaromatic ring",,False
15,"Cyclohepta-1,3,5-triene",C1=CC=CCC=C1,"Cyclohepta-1,3,5-triene","Cyclohepta-1,3,5-triene",,False
15,"Cyclohexa-1,3-diene, the conjugated reference",C1=CCCC=C1,"Cyclohexa-1,3-diene, the conjugated reference","Cyclohexa-1,3-diene, the conjugated reference",,False
15,"Cyclohexene, the one-double-bond reference",C1=CCCCC1,"Cyclohexene, the one-double-bond reference","Cyclohexene, the one-double-bond reference",,False
15,"Cyclooctatetraene, a nonaromatic ring",C1=CC=CC=CC=C1,"Cyclooctatetraene, a nonaromatic ring","Cyclooctatetraene, a nonaromatic ring",,False
15,"Cyclopenta-1,3-diene, the acidic hydrocarbon",C1=CCC=C1,"Cyclopenta-1,3-diene, the acidic hydrocarbon","Cyclopenta-1,3-diene, the acidic hydrocarbon",,False
15,"Cyclopentadienyl anion, an aromatic ion",c1cc[cH-]c1,"Cyclopentadienyl anion, an aromatic ion","Cyclopentadienyl anion, an aromatic ion",,False
15,"Cyclopropenyl cation, the smallest aromatic ion",c1c[cH+]1,"Cyclopropenyl cation, the smallest aromatic ion","Cyclopropenyl cation, the smallest aromatic ion",,False
15,"Naphthalene, the simplest fused aromatic",c1ccc2ccccc2c1,"Naphthalene, the simplest fused aromatic","Naphthalene, the simplest fused aromatic",,False
15,"Phenanthrene, three angularly fused rings",c1ccc2c(c1)ccc1ccccc12,"Phenanthrene, three angularly fused rings","Phenanthrene, three angularly fused rings",,False
15,"Phenol, a retained parent name",Oc1ccccc1,"Phenol, a retained parent name","Phenol, a retained parent name",,False
15,"Pyridine, a six-membered aromatic heterocycle",c1ccncc1,"Pyridine, a six-membered aromatic heterocycle","Pyridine, a six-membered aromatic heterocycle",,False
15,"Pyrrole, a five-membered aromatic heterocycle",c1cc[nH]c1,"Pyrrole, a five-membered aromatic heterocycle","Pyrrole, a five-membered aromatic heterocycle",,False
15,"Toluene, a retained parent name",Cc1ccccc1,"Toluene, a retained parent name","Toluene, a retained parent name",,False
15,"Tropylium cation, an aromatic ion",c1ccc[cH+]cc1,"Tropylium cation, an aromatic ion","Tropylium cation, an aromatic ion",,False
16,"1-Chloro-2,4-dinitrobenzene, an activated aryl halide",O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,"1-Chloro-2,4-dinitrobenzene, an activated aryl halide","1-Chloro-2,4-dinitrobenzene, an activated aryl halide",,False
16,"Acetophenone, a Friedel–Crafts acylation product",CC(=O)c1ccccc1,"Acetophenone, a Friedel–Crafts acylation product","Acetophenone, a Friedel-Crafts acylation product",,False
16,"Aniline, from reduction of nitrobenzene",Nc1ccccc1,"Aniline, from reduction of nitrobenzene","Aniline, from reduction of nitrobenzene",,False
16,"Anisole, a strongly activated ring",COc1ccccc1,"Anisole, a strongly activated ring","Anisole, a strongly activated ring",,False
16,Benzenesulfonic acid,O=S(=O)(O)c1ccccc1,Benzenesulfonic acid,Benzenesulfonic acid,Benzenesulfonic acid,True
16,Benzoic acid,O=C(O)c1ccccc1,Benzoic acid,Benzoic acid,Benzoic acid,True
16,"Benzyl bromide, from benzylic bromination",BrCc1ccccc1,"Benzyl bromide, from benzylic bromination","Benzyl bromide, from benzylic bromination",,False
16,Benzyne,c1ccccc#1,Benzyne,Benzyne,Benzyne,True
16,"Bromobenzene, the substitution product",Brc1ccccc1,"Bromobenzene, the substitution product","Bromobenzene, the substitution product",,False
16,Chlorobenzene: deactivated yet ortho–para directed,Clc1ccccc1,Chlorobenzene: deactivated yet ortho–para directed,Chlorobenzene: deactivated yet ortho-para directed,,False
16,Nitrobenzene,O=[N+]([O-])c1ccccc1,Nitrobenzene,Nitrobenzene,Nitrobenzene,True
16,"p-Nitrotoluene, a directed product",Cc1ccc([N+](=O)[O-])cc1,"p-Nitrotoluene, a directed product","p-Nitrotoluene, a directed product",,False
16,"tert-Butylbenzene, a rearrangement product",CC(C)(C)c1ccccc1,"tert-Butylbenzene, a rearrangement product","tert-Butylbenzene, a rearrangement product",,False
16,The acetyl (acylium) cation,C[C+]=O,The acetyl (acylium) cation,The acetyl (acylium) cation | The acetyl cation | acylium,,False
16,The arenium ion from bromination of benzene,BrC1C=CC=C[CH+]1,The arenium ion from bromination of benzene,The arenium ion from bromination of benzene,,False
16,The Meisenheimer complex,O=[N+]([O-])C1=C[CH-]C(O)(Cl)C([N+](=O)[O-])=C1,The Meisenheimer complex,The Meisenheimer complex,,False
16,"The nitronium ion, NO₂⁺",O=[N+]=O,"The nitronium ion, NO₂⁺","The nitronium ion, NO2+","The nitronium ion, NO2+",True
16,The oxygen-stabilized arenium contributor (para attack on anisole),C[O+]=C1C=CC([N+](=O)[O-])C=C1,The oxygen-stabilized arenium contributor (para attack on anisole),The oxygen-stabilized arenium contributor | The oxygen-stabilized arenium contributor (para attack on anisole) | para attack on anisole,,False
16,"Toluene, a weakly activated ring",Cc1ccccc1,"Toluene, a weakly activated ring","Toluene, a weakly activated ring",,False
17,"2-Methyl-2-butanol, a tertiary alcohol",CCC(C)(C)O,"2-Methyl-2-butanol, a tertiary alcohol","2-Methyl-2-butanol, a tertiary alcohol",,False
17,"Cyclohexanol, a secondary alcohol",OC1CCCCC1,"Cyclohexanol, a secondary alcohol","Cyclohexanol, a secondary alcohol",,False
17,"Ethanol, a primary alcohol",CCO,"Ethanol, a primary alcohol","Ethanol, a primary alcohol",,False
17,para-Benzoquinone,O=C1C=CC(=O)C=C1,para-Benzoquinone,para-Benzoquinone,,False
17,para-Nitrophenol,O=[N+]([O-])c1ccc(O)cc1,para-Nitrophenol,para-Nitrophenol,,False
17,Phenol,Oc1ccccc1,Phenol,Phenol,Phenol,True
18,"1,2-Epoxycyclohexane (cyclohexene oxide)",C1CCC2OC2C1,"1,2-Epoxycyclohexane (cyclohexene oxide)","1,2-Epoxycyclohexane | 1,2-Epoxycyclohexane (cyclohexene oxide) | cyclohexene oxide","1,2-Epoxycyclohexane",True
18,"1,4-Dioxane",C1COCCO1,"1,4-Dioxane","1,4-Dioxane",,False
18,1-Methoxy-2-methyl-2-propanol (base-promoted product),COCC(C)(C)O,1-Methoxy-2-methyl-2-propanol (base-promoted product),1-Methoxy-2-methyl-2-propanol | 1-Methoxy-2-methyl-2-propanol (base-promoted product) | base-promoted product,,False
18,18-Crown-6,C1COCCOCCOCCOCCOCCO1,18-Crown-6,18-Crown-6,18-Crown-6,True
18,"2,2-Dimethyloxirane",CC1(C)CO1,"2,2-Dimethyloxirane","2,2-Dimethyloxirane",,False
18,2-Methoxy-2-methyl-1-propanol (acid-catalyzed product),COC(C)(C)CO,2-Methoxy-2-methyl-1-propanol (acid-catalyzed product),2-Methoxy-2-methyl-1-propanol | 2-Methoxy-2-methyl-1-propanol (acid-catalyzed product) | acid-catalyzed product,,False
